"","Ciudad","Media","Entropia_Estimada","Entropia_Estimada_Boot","Entropia_Verdadera","Diferencia_Test_Entropia"
"1","Brazil",76045.4933789062,11.7652418327286,11.7273510168886,11.7832322814582,-0.0619160478646705
"2","Berlin",414237.654550781,13.7250438908349,13.682737551762,13.4783403771021,0.293326454433879
"3","Flevoland",56897.8892871094,11.5955903962978,13.6324615402269,11.4931587684831,0.108105012910112
"4","Ottawa",36029.6300360107,11.309607282922,11.3121791018204,11.0362421796554,0.270128730750203
